Company,Time,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
LH,2013-12-01,-9.3,-22.7,174.6,-517.5,-370.3,-7.1,-5.9,-0.12,4.75
UNP,2012-12-01,651.0,288.0,-514.0,-59.0,-285.0,-203.7,-226.9,-0.22,9.89
TXN,2011-12-01,-992.0,-564.0,-5115.0,5215.0,-464.0,-347.2,-321.0,-0.07,-3.39
PPL,2011-12-01,557.0,474.0,277.0,-540.0,153.0,1279.4,1470.1,-1.16,2.88
NAT,2019-12-01,84.9,69.0,-87.4,39.7,21.3,34.6,48.0,0.5,2.92
CSCO,2012-07-01,1551.0,1412.0,-881.0,-1475.0,-944.0,1551.5,1531.5,0.32,-0.02
SIRI,2015-12-01,16.5,-9.1,-42.6,2.9,-48.8,1267.4,1299.4,0.01,0.57
BBL,2011-06-01,10926.0,13190.0,-6479.0,-10711.0,-3999.0,11236.4,11267.0,2.07,25.73
MSI,2015-12-01,-689.0,1563.0,-3740.0,-542.0,-2703.0,777.2,801.5,7.18,1.37
T,2019-12-01,-5467.0,5066.0,46455.0,906.0,52427.0,14390.3,14680.8,0.67,10.54
VZ,2018-12-01,-14573.0,10021.0,522.0,-9226.0,1317.0,1443.3,1505.8,2.35,3.29
FIZZ,2019-04-01,-8.9,-15.3,-6.4,-65.5,-87.2,-15.3,-15.3,-0.46,-29.55
CB,2015-12-01,-19.0,-632.0,-3790.0,5472.0,1044.0,-8085.4,-8072.9,-1.53,1.97
PGR,2012-12-01,-113.2,193.5,480.0,-648.4,26.6,2.6,-3.0,0.35,2.36
UNFI,2014-08-01,17.6,18.1,-280.5,273.1,10.0,-82.9,-81.7,-1.26,3.66
DGICA,2012-12-01,22.6,3.9,26.3,-20.6,9.7,-359.3,-359.1,0.13,-0.12
ROK,2013-09-01,19.3,290.1,246.4,-171.9,382.0,21.4,21.9,2.1,37.39
GIS,2013-05-01,287.9,518.8,355.4,-473.6,418.6,291.7,271.6,0.89,8.8
ALB,2012-12-01,-80.6,1.4,-88.3,151.8,68.5,-141.0,-143.9,-0.95,10.61
LPX,2017-12-01,240.2,131.7,-484.1,398.0,45.5,68.7,60.5,0.74,7.33
WWE,2016-12-01,9.7,9.8,-5.4,178.8,183.2,-41.8,-41.3,-0.01,0.56
TDG,2015-09-01,140.3,-20.3,-1349.5,1010.9,-360.3,-27.4,15.2,-0.67,23.64
BMY,2012-12-01,-1749.0,2101.0,-5290.0,-1676.0,-4863.0,-2412.0,-2388.9,1.2,-2.65
SYY,2017-07-01,192.9,244.3,-2808.6,777.3,-1670.8,12.7,23.9,0.29,0.83
NEE,2015-12-01,287.0,589.0,-1635.0,897.0,-132.0,2105.2,2074.0,-1.59,-2.4
USM,2014-12-01,-183.0,-118.9,-643.7,668.9,-93.7,-527.2,-519.1,-4.04,-1.99
AGI,2011-12-01,311.6,84.2,-41.8,43.4,82.1,-100.6,-101.4,0.47,-2.07
