Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price_Change
ORAN,2018-12-01,-3739.5,-1623.4,-2116.1,-6.8,-0.73,209.3,0.07,-10.2,868.5,-1614.7,-957.2,-0.59,0.01,-0.2,0.02,-937.8,-957.2,-516.9,27.3,-1316.3,-269.9,1989.2,452.3,-2681.8,-2700.5,-0.39,-1.21
GRMN,2013-12-01,60.5,-67.4,127.9,-0.4,0.69,141.0,0.76,0.0,55.3,-83.8,-30.2,-0.46,0.35,0.08,0.0,-37.6,-30.2,15.8,70.0,-54.6,221.8,-157.0,4.0,-243.0,-243.0,-0.35,5.44
ODFL,2015-12-01,259.6,69.1,190.5,-3.2,1.73,190.6,1.73,-21.9,1.4,184.5,56.9,1.64,0.31,0.3,0.0,56.9,56.9,36.0,37.2,162.2,-91.8,-98.4,-27.9,25.3,24.5,0.53,-12.38
DE,2013-10-01,3255.5,-150.2,3405.7,-15.4,9.82,3521.0,9.96,2061.3,3098.3,1637.3,783.9,7.03,1.46,1.58,0.2,784.9,783.9,519.7,472.6,2086.6,-816.6,-3473.7,-2153.2,2574.9,2616.9,4.68,-3.6
ALB,2013-12-01,147.5,336.7,-189.2,-9.3,-0.3,-207.2,-0.77,379.6,380.0,-124.9,106.6,0.31,1.44,0.82,0.16,103.9,106.6,50.4,101.7,-55.9,143.5,-110.7,-8.8,217.6,216.8,0.98,1.27
VZ,2016-12-01,5.0,-6185.0,6190.0,2.9,1.5,2819.0,0.71,-1458.0,732.0,-5640.0,-710.0,-1.34,-1.16,-0.01,0.06,-703.0,-710.0,-69.4,-4752.0,-17338.0,20169.0,1736.0,4567.0,-1438.8,-1778.8,-1.77,7.16
DXCM,2015-12-01,107.4,26.4,81.0,4.2,0.9,81.0,0.9,-2.3,-33.9,142.8,0.9,1.59,-0.42,0.03,0.0,0.3,0.9,0.8,-35.2,25.4,-34.7,-5.0,-14.3,6.7,6.4,0.1,26.85
MCK,2017-03-01,4446.0,2260.0,2186.0,-14.1,12.92,785.0,2.43,423.0,1688.0,7649.0,-188.0,68.41,13.12,-0.11,0.04,-206.0,-188.0,-104.7,2812.0,1072.0,-1712.0,1384.0,555.0,2623.6,2595.5,5.9,-8.99
BF.B,2011-04-01,329.0,164.0,165.0,-7.8,0.35,205.0,0.39,60.0,-277.0,117.0,71.0,0.29,0.24,0.1,0.02,71.0,71.0,45.6,123.0,-18.0,238.0,231.0,443.0,74.6,73.3,-0.03,3.58
LOW,2015-01-01,-1011.0,874.0,-1885.0,-67.1,-1.13,-1885.0,-1.13,837.0,822.0,2806.0,628.0,6.47,0.57,0.53,0.17,628.0,628.0,367.5,412.0,818.0,198.0,-792.0,225.0,1105.6,1132.5,1.11,21.47
DLTR,2012-01-01,-51.9,62.5,-114.4,-12.8,-0.09,-114.4,-0.14,-1.0,196.7,748.1,125.6,4.41,0.47,0.41,0.0,125.6,125.6,77.0,91.0,167.8,288.0,-218.9,237.5,75.1,73.4,0.47,17.11
DHR,2019-12-01,14249.1,12193.9,2055.2,-5.7,1.0,857.7,1.18,12785.7,-6338.8,862.6,191.8,0.72,0.33,0.25,0.04,201.3,191.8,218.7,357.3,-70.4,1711.3,17163.3,18967.0,406.2,388.5,-0.34,50.36
HES,2018-12-01,-1679.0,-213.0,-1466.0,-11.7,-2.06,-1422.0,-2.16,-303.0,1850.0,805.0,3604.0,3.61,12.02,6.89,0.0,3604.0,3604.0,2159.8,3792.0,994.0,-2924.0,-2338.0,-4268.0,-1033.8,-987.5,2.62,-6.97
LH,2017-12-01,2426.0,1122.1,1303.9,-0.4,13.16,-443.8,-4.68,912.6,1029.6,755.1,7.2,7.46,5.04,-0.13,0.0,42.3,7.2,-13.3,515.3,301.0,-1433.0,1264.2,165.8,248.9,258.9,2.59,31.13
GPS,2014-02-01,379.0,211.0,168.0,-18.3,0.62,205.0,0.67,148.0,148.0,497.0,187.0,2.56,0.43,0.42,0.2,187.0,187.0,140.7,145.0,-231.0,220.0,477.0,475.0,-196.9,-213.1,-0.4,10.83
