Company,Time,Total Assets,Total Liabilities,Total Equity,Total Shares Out. on Filing Date,Book Value / Share,Tangible Book Value,Tangible Book Value Per Share,Total Debt,Net Debt,Total Revenues,Operating Income,Revenue Per Share,Basic EPS,Normalized Basic EPS,Dividend Per Share,EBITA,EBIT,Normalized Net Income,Net Income,Cash from Operations,Cash from Investing,Cash from Financing,Net Change in Cash,Levered Free Cash Flow,Unlevered Free Cash Flow,Free Cash Flow / Share,Price
JBHT,2015-12-01,3629.5,2329.2,1300.4,112.8,11.41,1300.4,11.41,998,992.4,6187.6,715.7,53.49,3.69,3.73,0.84,716.7,715.7,431.4,427.2,873.3,-576.5,-297.2,-0.4,97.6,113.6,1.28,73.36
URI,2010-12-01,3693.0,3713.0,-20.0,60.6,-0.33,-247.0,-4.07,2929.0,2726.0,2237.0,231,37.00,-0.43,-0.01,0,238,231,-0.6,-26.0,452,-223.0,-203.0,34,255.9,380.4,3.67,22.75
FLS,2013-12-01,5036.7,3159.6,1877.1,137.6,13.64,602.3,4.39,1200.3,836.3,4954.6,732.0,34.99,3.43,3.10,0.56,744.8,732.0,439.5,485.5,487.8,-168.0,-255.8,59.6,333.3,367.3,2.46,78.83
CTSH,2015-12-01,13061.0,3783.0,9278.0,609.1,15.23,6009.0,9.87,1283.0,-3666.0,12416.0,2142.0,20.39,2.67,2.22,0,2239.0,2142.0,1351.9,1624.0,2187.0,-1371.0,-682.0,115,1678.3,1689.6,3.14,60.02
PG,2016-06-01,127136.0,69153.0,57983.0,2668.8,21.10,-12574.0,-4.71,30598.0,17250.0,65299.0,13454.0,24.19,3.80,2.99,2.66,13842.0,13454.0,8080.3,10508.0,15435.0,-5575.0,-9213.0,266,7106.9,7468.8,4.40,84.67
TSN,2011-10-01,11071.0,5386.0,5685.0,369.8,15.29,3616.0,9.77,2184.0,1468.0,32032.0,1289.0,85.88,2.01,1.83,0.16,1318.0,1289.0,683.9,750,1046.0,-644.0,-658.0,-262.0,285.9,393.1,1.08,19.2
HOG,2019-12-01,10528.2,8724.2,1804.0,150.8,11.99,1729.2,11.49,7517.6,7046.9,5361.8,616.4,34.14,2.70,2.39,1.50,617.3,616.4,376.0,423.6,868.3,-508.1,-712.2,-354.4,295.3,228.6,4.37,37.19
ADBE,2010-12-01,8141.1,2948.8,5192.4,504.7,10.35,1021.8,2.04,1522.5,-945.6,3800.0,1016.3,7.32,1.49,1.17,0,1186.0,1016.3,606,774.7,1113.0,-1159.3,-215.3,-249.6,989.7,1025.2,1.82,30.78
HLF,2015-12-01,2477.9,2531.4,-53.5,185.3,-0.29,-455.5,-2.46,1622.0,732.2,4469.0,583.6,27.05,2.05,1.85,0,583.6,583.6,305.4,339.1,628.7,-73.4,-250.0,244.4,457.4,520.3,3.33,26.81
EXPD,2016-12-01,2790.9,943.7,1847.2,180.1,10.26,1836.7,10.21,0.0,-974.4,6098.0,670.2,33.64,2.38,2.36,0.80,670.2,670.2,427.6,430.8,529.5,-53.2,-298.8,166.6,444.7,444.7,2.59,52.96
